,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,41.0,646.0,640.0,607.6188813519661,243.6912911350234,586.1184573588666,401.0538655695959,-21.562481552805366,157.28548152425932,-0.13624208901905926
1,1,0.030029296875,0.0,0.0,23.0,41.0,647.0,639.0,607.7211567632272,243.68850527348286,586.1466428288377,400.95562370108803,-21.534296082834317,157.18723965575143,-0.13615018560598918
2,2,0.06005859375,0.0,0.0,23.0,40.0,648.0,640.0,607.6486188575401,243.70812099738328,586.1466428288377,400.95562370108803,-21.534296082834317,157.18723965575143,-0.13615018560598918
3,3,0.090087890625,0.0,0.0,24.0,41.0,650.0,638.0,607.7227615747287,243.65950816118087,586.1297840542236,401.0048524086028,-21.55115485744841,157.2364683632662,-0.13621332700549427
4,4,0.110107421875,77.0,77.0,23.0,41.0,651.0,639.0,607.5792363847752,243.75599304036584,586.6317343324288,401.4471755734252,-21.049204579243224,157.67879152808862,-0.13270958851976325
5,5,0.1400146484375,77.0,77.0,23.0,40.0,648.0,638.0,607.5792363847752,243.75599304036584,586.6317343324288,401.4471755734252,-21.049204579243224,157.67879152808862,-0.13270958851976325
6,6,0.1700439453125,77.0,77.0,23.0,26.0,646.0,638.0,607.5792363847752,243.75599304036584,586.6317343324288,401.4471755734252,-21.049204579243224,157.67879152808862,-0.13270958851976325
7,7,0.2000732421875,77.0,77.0,23.0,35.0,650.0,635.0,607.564262901015,243.8037474973933,596.6180323308757,404.87228843188035,-11.062906580796266,161.10390438654375,-0.06856175625670227
8,8,0.2301025390625,77.0,77.0,23.0,37.0,644.0,635.0,607.6692391039761,243.66162456894523,603.9464890640274,406.54440287993833,-3.734449847644555,162.77601883460173,-0.02293823669681567
9,9,0.260009765625,77.0,77.0,23.0,38.0,638.0,632.0,607.653897050933,243.70705035262213,607.2428312498823,407.3364628269729,-0.4381076617896724,163.56807878163627,-0.002678435898912981
10,10,0.2900390625,77.0,77.0,23.0,40.0,628.0,625.0,607.6670565603182,243.82438058481915,608.2604271069152,407.9659305910797,0.5794881952432434,164.1975465457431,0.0035291988311821586
11,11,0.330078125,77.0,77.0,23.0,34.0,621.0,618.0,607.8376907159968,243.78483881103355,609.5091998115057,408.38997309126887,1.8282608998337082,164.62158904593227,0.011105382655431572
12,12,0.360107421875,77.0,77.0,23.0,38.0,618.0,611.0,607.6670565603182,243.82438058481915,613.7614641832583,409.1270258024318,6.080525271586339,165.35864175709517,0.036755181416290826
13,13,0.3900146484375,77.0,77.0,23.0,38.0,607.0,606.0,607.6856537853618,243.80671242230133,618.0018681442957,409.49616622196777,10.320929232623712,165.72778217663117,0.06219607440554236
14,14,0.4100341796875,77.0,77.0,23.0,40.0,604.0,597.0,607.7207025664799,243.8224962550803,619.1783330115516,409.4631018621035,11.497394099879557,165.69471781676688,0.06927797510427959
15,15,0.4500732421875,77.0,77.0,22.0,14.0,600.0,591.0,607.7207025664799,243.8224962550803,619.1783330115516,409.4631018621035,11.497394099879557,165.69471781676688,0.06927797510427959
16,16,0.4801025390625,77.0,77.0,23.0,30.0,593.0,589.0,607.7560896083404,243.8216917827794,618.5349274643701,409.8091444611428,10.85398855269807,166.0407604158062,0.06527654873474584
17,17,0.510009765625,77.0,77.0,23.0,13.0,592.0,587.0,607.7598239269461,243.84989726128399,618.5083605650626,409.8651157108089,10.827421653390616,166.09673166547228,0.06509534436261351
18,18,0.5400390625,77.0,77.0,23.0,30.0,590.0,585.0,607.6670565603182,243.82438058481915,620.9214711056732,409.93236431787966,13.240532194001162,166.16398027254306,0.079515518467956
19,19,0.570068359375,77.0,77.0,23.0,24.0,586.0,580.0,607.7340549180237,243.8059298042545,623.6734927650916,409.9588509255941,15.992553853419622,166.1904668802575,0.09593487240732719
20,20,0.60009765625,77.0,77.0,23.0,34.0,586.0,575.0,607.6459502774546,243.87145276043617,624.1122494064908,409.9873877519018,16.43131049481883,166.2190037065652,0.09853325769699454
21,21,0.6300048828125,77.0,77.0,23.0,18.0,582.0,573.0,607.6459502774546,243.87145276043617,624.1122494064908,409.9873877519018,16.43131049481883,166.2190037065652,0.09853325769699454
22,22,0.6600341796875,77.0,77.0,23.0,32.0,581.0,574.0,607.7360724887388,243.7770392140464,622.0780818383952,409.9052467703749,14.397142926723177,166.1368627250383,0.0864423762785946
23,23,0.6900634765625,77.0,77.0,23.0,36.0,577.0,571.0,607.7007843377166,243.75545066235097,624.0749744574176,410.02530223331917,16.394035545745623,166.25691818798256,0.09828889548609669
24,24,0.7200927734375,77.0,77.0,23.0,35.0,578.0,570.0,607.7360724887388,243.7770392140464,626.3120330740518,410.0495049155245,18.63109416237978,166.2811208701879,0.11158037457203906
25,25,0.75,77.0,77.0,23.0,39.0,577.0,567.0,607.6670565603182,243.82438058481915,626.3345249113307,410.1029286667089,18.65358599965873,166.33454462137232,0.1116783764825128
26,26,0.780029296875,77.0,77.0,23.0,38.0,572.0,566.0,607.6670565603182,243.82438058481915,626.3345249113307,410.1029286667089,18.65358599965873,166.33454462137232,0.1116783764825128
27,27,0.81005859375,77.0,77.0,23.0,25.0,578.0,565.0,607.7360724887388,243.7770392140464,624.8172352331022,409.9439837822532,17.136296321430223,166.1755997369166,0.10275839624052939
28,28,0.840087890625,77.0,77.0,23.0,35.0,575.0,567.0,607.7360724887388,243.7770392140464,624.2911204669845,410.1324678960653,16.610181555312465,166.3640838507287,0.09951256373279048
29,29,0.8701171875,77.0,77.0,23.0,39.0,573.0,564.0,607.6670565603182,243.82438058481915,625.8481763204447,410.1079302466344,18.167237408772735,166.3395462012978,0.1087866015161601
30,30,0.9000244140625,77.0,77.0,23.0,28.0,570.0,562.0,607.6433592188082,243.7226547743462,627.0123772532993,409.8427005161328,19.33143834162729,166.07431647079622,0.11588083753762408
31,31,0.9300537109375,77.0,77.0,23.0,34.0,570.0,560.0,607.6041128734064,243.78680869539428,626.9816337253992,409.8040105698365,19.300694813727205,166.03562652449992,0.1157249094818501
32,32,0.9600830078125,77.0,77.0,23.0,38.0,573.0,560.0,607.5557860995171,243.78762817191148,626.0028348270473,409.91087312481216,18.321895915375308,166.14248907947555,0.10983440006934285
33,33,0.9901123046875,77.0,77.0,23.0,36.0,570.0,561.0,607.5557860995171,243.78762817191148,626.0028348270473,409.91087312481216,18.321895915375308,166.14248907947555,0.10983440006934285
34,34,1.02001953125,77.0,77.0,23.0,31.0,568.0,560.0,607.6379135192176,243.8248809598021,626.388748362418,410.0240634750801,18.707809450746026,166.25567942974348,0.11205299133723978
35,35,1.050048828125,77.0,77.0,23.0,38.0,567.0,559.0,607.6247693184644,243.740305423459,627.6338850661839,409.8126582652365,19.952946154511892,166.0442742198999,0.11959298130805278
36,36,1.080078125,77.0,77.0,23.0,33.0,566.0,559.0,607.6247693184644,243.740305423459,627.6338850661839,409.8126582652365,19.952946154511892,166.0442742198999,0.11959298130805278
37,37,1.110107421875,77.0,77.0,23.0,36.0,571.0,561.0,607.6433592188082,243.7226547743462,627.6330771707975,409.82323028827483,19.95213825912549,166.05484624293823,0.11958064371434775
38,38,1.1400146484375,77.0,77.0,23.0,39.0,568.0,562.0,607.5557860995171,243.78762817191148,626.4954354001696,410.06917015608667,18.81449648849764,166.30078611075007,0.11265632056435786
39,39,1.1700439453125,77.0,77.0,23.0,17.0,568.0,561.0,607.6433592188082,243.7226547743462,626.1039290849258,410.0276849845179,18.422990173253766,166.25930093918132,0.11035856636889788
40,40,1.2000732421875,77.0,77.0,23.0,28.0,569.0,560.0,607.6433592188082,243.7226547743462,626.7575984129347,410.0294501346368,19.076659501262725,166.26106608930021,0.1142396100778791
41,41,1.2301025390625,77.0,77.0,23.0,36.0,565.0,558.0,607.6379135192176,243.8248809598021,628.2125176343817,409.84088447357215,20.531578722709696,166.07250042823554,0.12300605531385912
42,42,1.260009765625,77.0,77.0,23.0,39.0,572.0,557.0,607.6281963584818,243.76799696530915,628.0566225151968,409.9002617261958,20.37568360352475,166.13187768085922,0.1220381632733393
43,43,1.2900390625,77.0,77.0,23.0,19.0,565.0,559.0,607.629727987527,243.83067284578,626.7564949804129,410.02895988236895,19.075556068740866,166.26057583703235,0.1142333934807199
44,44,1.320068359375,77.0,77.0,23.0,32.0,567.0,558.0,607.6447548440362,243.78493110002583,626.4532615963461,410.0094222128884,18.772322684674123,166.2410381675518,0.112445978566195
45,45,1.35009765625,77.0,77.0,23.0,38.0,568.0,559.0,607.5743763709247,243.7699677431744,627.0065174484097,410.0272433099604,19.32557853673768,166.2588592646238,0.11571858440003717
46,46,1.3800048828125,77.0,77.0,23.0,39.0,567.0,558.0,607.6041128734064,243.78680869539428,628.3266529413075,409.9625482921252,20.645714029635542,166.19416424678857,0.12359329068720193
47,47,1.4100341796875,77.0,77.0,23.0,34.0,562.0,558.0,607.6041128734064,243.78680869539428,628.3266529413075,409.9625482921252,20.645714029635542,166.19416424678857,0.12359329068720193
48,48,1.4400634765625,77.0,77.0,23.0,14.0,564.0,555.0,607.5743763709247,243.7699677431744,628.249676675933,409.9086556861823,20.56873776426096,166.14027164084573,0.1231766738083755
49,49,1.4700927734375,77.0,77.0,23.0,30.0,565.0,556.0,607.691077120975,243.7324400039245,626.9047479649416,409.9619541592705,19.223809053269633,166.19357011393387,0.1151594116854798
50,50,1.5,77.0,77.0,23.0,36.0,566.0,558.0,607.6539672014435,243.8196014202469,627.2076457120371,409.9185983129216,19.526706800365105,166.15021426758497,0.11698777373515418
51,51,1.530029296875,77.0,77.0,23.0,40.0,564.0,557.0,607.6539672014435,243.8196014202469,627.2076457120371,409.9185983129216,19.526706800365105,166.15021426758497,0.11698777373515418
52,52,1.56005859375,77.0,77.0,23.0,13.0,570.0,557.0,607.6693522178463,243.77417122598382,628.3606674280334,410.0310040486437,20.679728516361365,166.2626200033071,0.12374439078487198
53,53,1.590087890625,77.0,77.0,23.0,18.0,565.0,560.0,607.5978857927638,243.85089616419972,628.1733472177216,409.9656913936668,20.492408306049583,166.1973073483302,0.12268246101578344
54,54,1.6201171875,77.0,77.0,23.0,32.0,563.0,559.0,607.6003723811436,243.82148773866456,627.0729417126288,410.0128909599694,19.39200280095679,166.2445069146328,0.11612269784931205
55,55,1.6500244140625,77.0,77.0,23.0,33.0,567.0,556.0,607.6693522178463,243.77417122598382,626.808525997952,409.9516201471754,19.12758708627996,166.1832361018388,0.11459510640422095
