,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,41.0,652.0,642.0,607.5477755678886,243.94910877587319,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
1,1,0.0299072265625,0.0,0.0,23.0,41.0,652.0,641.0,607.6322604960341,243.8534558977933,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
2,2,0.0599365234375,0.0,0.0,23.0,41.0,652.0,640.0,607.5301754878658,243.85001732513453,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
3,3,0.0899658203125,0.0,0.0,23.0,41.0,653.0,641.0,607.5839045388993,243.8542673441751,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
4,4,0.1099853515625,5.0,5.0,23.0,40.0,652.0,641.0,607.5834457856673,243.94605512285798,585.982603135538,401.09090274208944,-21.58856265170573,157.21920645955723,-0.1364616363927872
5,5,0.139892578125,5.0,5.0,24.0,41.0,654.0,642.0,607.6017556652788,243.94764807362404,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
6,6,0.169921875,5.0,5.0,23.0,41.0,653.0,643.0,607.6017556652788,243.94764807362404,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
7,7,0.199951171875,5.0,5.0,23.0,41.0,650.0,641.0,607.5477755678886,243.94910877587319,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
8,8,0.22998046875,5.0,5.0,23.0,40.0,652.0,644.0,607.5872221556089,243.976400869886,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
9,9,0.25,5.0,5.0,23.0,40.0,653.0,642.0,607.5477755678886,243.94910877587319,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
10,10,0.2799072265625,5.0,5.0,22.0,40.0,651.0,642.0,607.5627881759782,243.90133016827937,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
11,11,0.3099365234375,5.0,5.0,23.0,41.0,647.0,643.0,607.5477755678886,243.94910877587319,586.0643443671775,401.04273523602006,-21.50682142006633,157.17103895348785,-0.13599245634545606
12,12,0.3399658203125,5.0,5.0,23.0,40.0,651.0,642.0,607.5477755678886,243.94910877587319,586.0643443671775,401.04273523602006,-21.50682142006633,157.17103895348785,-0.13599245634545606
13,13,0.3699951171875,5.0,5.0,23.0,40.0,649.0,642.0,607.5270114486902,243.965867090285,586.0643443671775,401.04273523602006,-21.50682142006633,157.17103895348785,-0.13599245634545606
14,14,0.389892578125,5.0,5.0,23.0,41.0,651.0,642.0,607.5814273526993,243.88368841452174,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
15,15,0.419921875,5.0,5.0,23.0,40.0,650.0,641.0,607.6380350362978,243.9453089627113,585.9970354286248,400.97828870924485,-21.57413035861896,157.10659242671264,-0.13646807928793425
16,16,0.449951171875,5.0,5.0,23.0,40.0,653.0,643.0,607.5627881759782,243.90133016827937,586.012100809444,400.99462373602205,-21.559064977799835,157.12292745348984,-0.13635995735140483
17,17,0.47998046875,5.0,5.0,23.0,40.0,651.0,640.0,607.5208021949138,243.90207646531516,586.0099923780357,400.84075425160574,-21.561173409208095,156.96905796907353,-0.13650515493711898
18,18,0.5098876953125,5.0,5.0,23.0,40.0,654.0,641.0,607.5208021949138,243.90207646531516,586.0099923780357,400.84075425160574,-21.561173409208095,156.96905796907353,-0.13650515493711898
19,19,0.5299072265625,5.0,5.0,23.0,40.0,650.0,645.0,607.5358021499319,243.85432798042095,586.0099923780357,400.84075425160574,-21.561173409208095,156.96905796907353,-0.13650515493711898
20,20,0.5599365234375,5.0,5.0,22.0,40.0,654.0,646.0,607.5208021949138,243.90207646531516,586.0099923780357,400.84075425160574,-21.561173409208095,156.96905796907353,-0.13650515493711898
21,21,0.5899658203125,5.0,5.0,23.0,41.0,651.0,642.0,607.5358021499319,243.85432798042095,585.9976264919302,400.8880611710108,-21.573539295313594,157.0163648884786,-0.13654183357172706
22,22,0.6199951171875,5.0,5.0,23.0,41.0,653.0,643.0,607.556902162106,243.80729363618664,586.0099923780357,400.84075425160574,-21.561173409208095,156.96905796907353,-0.13650515493711898
23,23,0.64990234375,5.0,5.0,23.0,40.0,653.0,645.0,607.4563161782803,243.86801274316707,585.9949347431723,400.8244378292591,-21.576231044071505,156.9527415467269,-0.13661332923499186
