,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,41.0,651.0,640.0,607.5348886279928,243.97631851422835,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
1,1,0.030029296875,0.0,0.0,23.0,40.0,650.0,640.0,607.5687568446583,243.81916250961797,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
2,2,0.0599365234375,0.0,0.0,23.0,40.0,654.0,642.0,607.5140692638455,243.93162840898069,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
3,3,0.0799560546875,0.0,0.0,23.0,40.0,652.0,645.0,607.5706550437433,243.8815483604504,586.0075064938452,400.9322023568254,-21.57327472166139,157.10897748609196,-0.13646068785665963
4,4,0.1099853515625,5.0,5.0,24.0,41.0,650.0,643.0,607.5501685062999,243.8368216778037,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
5,5,0.1400146484375,5.0,5.0,23.0,40.0,650.0,641.0,607.5348886279928,243.97631851422835,586.059976042525,400.9801167277474,-21.520805172981568,157.1568918570139,-0.1360918906194409
6,6,0.1700439453125,5.0,5.0,23.0,41.0,651.0,643.0,607.5348886279928,243.97631851422835,586.059976042525,400.9801167277474,-21.520805172981568,157.1568918570139,-0.1360918906194409
7,7,0.199951171875,5.0,5.0,22.0,40.0,652.0,642.0,607.4752175398735,243.87938785593445,586.0655897186746,400.93073366488983,-21.515191496832017,157.10750879415636,-0.13609906795085494
8,8,0.219970703125,5.0,5.0,23.0,40.0,653.0,643.0,607.5687568446583,243.81916250961797,585.9697247065601,400.8277414646656,-21.61105650894649,157.00451659393215,-0.13678653069530874
9,9,0.25,5.0,5.0,23.0,40.0,651.0,642.0,607.5084949786907,243.90043805613342,585.9547057911319,400.8114456072181,-21.626075424374676,156.98822073648464,-0.13689444167603879
10,10,0.280029296875,5.0,5.0,22.0,40.0,651.0,644.0,607.5687568446583,243.81916250961797,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
11,11,0.3099365234375,5.0,5.0,23.0,40.0,655.0,643.0,607.6191488457803,243.78950295000197,586.0655897186746,400.93073366488983,-21.515191496832017,157.10750879415636,-0.13609906795085494
12,12,0.3399658203125,5.0,5.0,22.0,40.0,655.0,643.0,607.5140692638455,243.93162840898069,586.0133735902026,400.8826760570535,-21.567407625303986,157.05945118632005,-0.13646652185451724
13,13,0.3699951171875,5.0,5.0,23.0,41.0,649.0,641.0,607.6097922079572,243.78454766205726,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
14,14,0.3900146484375,5.0,5.0,22.0,40.0,650.0,642.0,607.6097922079572,243.78454766205726,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
15,15,0.4200439453125,5.0,5.0,23.0,40.0,655.0,642.0,607.6097922079572,243.78454766205726,586.1298615643582,400.8166923030001,-21.45091965114841,156.9934674322666,-0.13579484706223563
16,16,0.449951171875,5.0,5.0,24.0,40.0,651.0,642.0,607.5760241626716,243.73816526449508,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
17,17,0.47998046875,5.0,5.0,22.0,41.0,649.0,643.0,607.5760241626716,243.73816526449508,586.1819337577332,400.9142128872885,-21.3988474577734,157.09098801655503,-0.13538615378466445
18,18,0.510009765625,5.0,5.0,23.0,40.0,653.0,641.0,607.5760241626716,243.73816526449508,586.1819337577332,400.9142128872885,-21.3988474577734,157.09098801655503,-0.13538615378466445
19,19,0.530029296875,5.0,5.0,22.0,40.0,651.0,644.0,607.5760241626716,243.73816526449508,586.1819337577332,400.9142128872885,-21.3988474577734,157.09098801655503,-0.13538615378466445
20,20,0.5599365234375,5.0,5.0,23.0,40.0,652.0,644.0,607.5945983367217,243.72050430995185,586.1145995503231,400.8497911741246,-21.466181665183512,157.02656630339115,-0.13586198604047361
21,21,0.5899658203125,5.0,5.0,23.0,40.0,651.0,644.0,607.5756345978672,243.8299145207164,586.0705238302453,400.8440749341771,-21.510257385261298,157.02085006344365,-0.13614241091177168
22,22,0.6199951171875,5.0,5.0,23.0,40.0,653.0,643.0,607.5965350396627,243.78288983171768,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
23,23,0.6500244140625,5.0,5.0,24.0,41.0,650.0,643.0,607.6296271769722,243.73627269738662,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
24,24,0.6700439453125,5.0,5.0,23.0,40.0,648.0,643.0,607.6635370681207,243.6731887008575,586.1819337577332,400.9142128872885,-21.3988474577734,157.09098801655503,-0.13538615378466445
25,25,0.699951171875,5.0,5.0,23.0,41.0,651.0,643.0,607.6635370681207,243.6731887008575,586.1819337577332,400.9142128872885,-21.3988474577734,157.09098801655503,-0.13538615378466445
26,26,0.72998046875,5.0,5.0,23.0,40.0,649.0,643.0,607.5945983367217,243.72050430995185,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
27,27,0.760009765625,5.0,5.0,23.0,40.0,652.0,643.0,607.5549569751713,243.7852132884894,586.1145995503231,400.8497911741246,-21.466181665183512,157.02656630339115,-0.13586198604047361
28,28,0.7900390625,5.0,5.0,23.0,40.0,650.0,643.0,607.5399900711022,243.83297535708158,586.1296719506275,400.86612095125207,-21.45110926487905,157.0428960805186,-0.13575381469903125
