,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,40.0,652.0,639.0,607.5821356672827,243.8021538423549,586.2170236755132,401.2741360287481,-21.4465944567454,157.52711370308901,-0.1353134712943378
1,1,0.030029296875,0.0,0.0,23.0,40.0,652.0,639.0,607.635912230065,243.799979197356,586.1164143792894,401.32815563285345,-21.547203752969267,157.58113330719436,-0.1358944447016969
2,2,0.050048828125,0.0,0.0,23.0,40.0,651.0,640.0,607.5131444233772,243.84944477449363,586.1488217831959,401.3814187565392,-21.51479634906275,157.6343964308801,-0.13564726961238208
3,3,0.0799560546875,0.0,0.0,23.0,40.0,653.0,641.0,607.4945483567994,243.8670982016621,586.0880611105463,401.2313960120857,-21.57555702171237,157.48437368642664,-0.13615364015939213
4,4,0.1099853515625,77.0,77.0,23.0,40.0,650.0,642.0,607.4945483567994,243.8670982016621,586.0880611105463,401.2313960120857,-21.57555702171237,157.48437368642664,-0.13615364015939213
5,5,0.1400146484375,77.0,77.0,23.0,39.0,649.0,642.0,607.5669457946823,243.84748364475882,586.7002159910771,401.46226629675766,-20.96340214118152,157.71524397109857,-0.1321447233552994
6,6,0.1700439453125,77.0,77.0,23.0,39.0,649.0,641.0,607.5669457946823,243.84748364475882,586.7002159910771,401.46226629675766,-20.96340214118152,157.71524397109857,-0.1321447233552994
7,7,0.199951171875,77.0,77.0,23.0,37.0,648.0,639.0,607.5131444233772,243.84944477449363,596.4824998321795,404.8851052184884,-11.181118300079106,161.1380828928293,-0.06927738610234896
8,8,0.22998046875,77.0,77.0,23.0,32.0,643.0,636.0,607.5131444233772,243.84944477449363,596.4824998321795,404.8851052184884,-11.181118300079106,161.1380828928293,-0.06927738610234896
9,9,0.260009765625,77.0,77.0,23.0,37.0,638.0,633.0,607.6284400633867,243.8379692152847,607.1375389747161,407.5859924768499,-0.5260791575425401,163.83897015119084,-0.003210941505989926
10,10,0.2900390625,77.0,77.0,23.0,30.0,633.0,625.0,607.7266840163992,243.6905752693979,608.0783408979488,407.88988641808885,0.41472276569015776,164.14286409242976,0.002526591000464805
11,11,0.320068359375,77.0,77.0,23.0,31.0,627.0,620.0,607.6788494584782,243.80831029726704,609.1422898021829,408.3954660212487,1.4786716699242106,164.6484436955896,0.008980539899746013
12,12,0.3499755859375,77.0,77.0,23.0,30.0,622.0,616.0,607.6974448080384,243.7906605344126,613.4343452317001,408.8979914349583,5.770727099441501,165.15096910929924,0.03492792234114605
13,13,0.3800048828125,77.0,77.0,22.0,18.0,614.0,609.0,607.7128173843397,243.84545508421382,617.3298592831034,409.34244921113,9.666241150844712,165.59542688547089,0.05830646969814829
14,14,0.4100341796875,77.0,77.0,23.0,29.0,607.0,601.0,607.6788494584782,243.80831029726704,618.9060247463892,409.3976455297662,11.242406614130573,165.6506232041071,0.06776426653437484
15,15,0.4400634765625,77.0,77.0,23.0,33.0,602.0,595.0,607.6788494584782,243.80831029726704,618.9060247463892,409.3976455297662,11.242406614130573,165.6506232041071,0.06776426653437484
16,16,0.469970703125,77.0,77.0,23.0,37.0,598.0,593.0,607.7469629573841,243.77605116121185,617.8292017606718,409.4851118291288,10.165583628413174,165.73808950346972,0.06125848728650986
17,17,0.5,77.0,77.0,23.0,15.0,597.0,588.0,607.7151143970998,243.7409911135252,617.8180557921754,409.6384994612941,10.154437659916766,165.891477135635,0.06113505023839353
18,18,0.530029296875,77.0,77.0,23.0,30.0,591.0,587.0,607.7512601022406,243.788481446093,620.2665712829778,409.6227194787163,12.602953150719145,165.87569715305722,0.07583260229321867
19,19,0.56005859375,77.0,77.0,23.0,29.0,589.0,584.0,607.5887320308373,243.9026776842836,622.9701659417871,409.83036914422286,15.30654780952841,166.08334681856377,0.09190223270291421
