,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,24.0,40.0,659.0,654.0,607.4670296198149,243.92040273185768,587.1952086235185,401.5221553944066,-20.440474737365093,157.69812487676515,-0.12889907970250272
1,1,0.030029296875,0.0,0.0,23.0,40.0,665.0,655.0,607.5694590989998,243.8259898197276,587.2277771987024,401.4284502338639,-20.407906162181234,157.60441971622245,-0.12877163652691911
2,2,0.050048828125,0.0,0.0,23.0,40.0,660.0,655.0,607.5694590989998,243.8259898197276,587.2277771987024,401.4284502338639,-20.407906162181234,157.60441971622245,-0.12877163652691911
3,3,0.0899658203125,150.0,150.0,23.0,42.0,662.0,654.0,607.5882831423156,243.80828971044912,587.1998700011313,401.46635147252397,-20.435813359752274,157.64232095488254,-0.1289151242592474
4,4,0.1099853515625,150.0,150.0,23.0,39.0,663.0,653.0,607.6032488554122,243.88378973775409,588.365954309273,402.33095928559715,-19.269729051610625,158.5069287679557,-0.12097660970134853
5,5,0.1500244140625,150.0,150.0,23.0,36.0,656.0,651.0,607.5149707653985,243.83882539591056,596.008118461212,405.10150144889917,-11.627564899671597,161.27747093125774,-0.0719721175110953
6,6,0.179931640625,150.0,150.0,23.0,36.0,651.0,646.0,607.4879454002788,243.87340329596924,609.6091918890605,407.8242230385172,1.9735085281769216,164.00019252087574,0.012032993662337456
7,7,0.2099609375,150.0,150.0,23.0,25.0,616.0,623.0,607.5550742794583,243.87338067874427,622.5013974033808,409.27388983701616,14.865714042497189,165.44985931937472,0.08960964234296835
8,8,0.239990234375,150.0,150.0,22.0,28.0,589.0,598.0,607.4674772101862,243.8286991436341,626.6865480177607,409.83462147100107,19.05086465687714,166.01059095335964,0.11425711620609162
9,9,0.280029296875,150.0,150.0,24.0,24.0,577.0,579.0,607.4123340557649,243.84044637563332,629.6699408055576,410.1261810513049,22.03425744467404,166.30215053366348,0.13172807122038502
10,10,0.3099365234375,150.0,150.0,23.0,20.0,572.0,570.0,607.4123340557649,243.84044637563332,629.6699408055576,410.1261810513049,22.03425744467404,166.30215053366348,0.13172807122038502
11,11,0.3399658203125,150.0,150.0,23.0,14.0,563.0,562.0,607.4449496559197,243.88579033556502,638.986501017995,409.47273001080805,31.350817657111406,165.64869949316662,0.1870484767857757
12,12,0.3699951171875,150.0,150.0,23.0,12.0,545.0,549.0,607.4654305611423,243.93068706570926,647.0590503350942,408.3608791942167,39.42336697421058,164.53684867657526,0.2351686744805685
