,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,41.0,650.0,639.0,607.3883191813892,243.89719297973903,585.8935240488638,400.94088719344705,-21.545908615953067,157.0835074503581,-0.13631154762191966
1,1,0.030029296875,0.0,0.0,23.0,40.0,648.0,640.0,607.3883191813892,243.89719297973903,585.9260913101542,400.90855026181526,-21.513341354662657,157.0511705187263,-0.13613572568865925
2,2,0.06005859375,5.0,5.0,23.0,41.0,647.0,641.0,607.3419976578552,243.9001499851433,585.9260913101542,400.90855026181526,-21.513341354662657,157.0511705187263,-0.13613572568865925
3,3,0.080078125,5.0,5.0,23.0,40.0,651.0,639.0,607.3883191813892,243.89719297973903,585.9711233875711,400.90896010224265,-21.468309277245794,157.0515803591537,-0.1358539108977329
4,4,0.1099853515625,5.0,5.0,23.0,40.0,649.0,641.0,607.4245806020256,243.83332108622704,585.9116573235635,400.843323229332,-21.527775341253346,156.98594348624303,-0.1362818412886874
5,5,0.1400146484375,5.0,5.0,23.0,40.0,648.0,642.0,607.4245806020256,243.83332108622704,585.9116573235635,400.843323229332,-21.527775341253346,156.98594348624303,-0.1362818412886874
6,6,0.1700439453125,5.0,5.0,23.0,40.0,650.0,642.0,607.403924920255,243.84973735268883,585.9116573235635,400.843323229332,-21.527775341253346,156.98594348624303,-0.1362818412886874
7,7,0.2000732421875,5.0,5.0,24.0,40.0,651.0,643.0,607.4245806020256,243.83332108622704,585.9142333778295,400.95549942257554,-21.525199286987345,157.0981196794866,-0.13616963263561152
8,8,0.219970703125,5.0,5.0,23.0,41.0,651.0,642.0,607.4827525648817,243.83613491557347,585.938667309386,400.9414400957276,-21.50076535543087,157.08406035263866,-0.13602898681342404
9,9,0.25,5.0,5.0,23.0,38.0,656.0,643.0,607.4827525648817,243.83613491557347,585.9439655891529,400.9400203436388,-21.49546707566401,157.08264060054987,-0.13599709205896632
10,10,0.280029296875,5.0,5.0,23.0,40.0,653.0,643.0,607.3125938117511,243.87902402291732,585.9109772418493,400.89233830851435,-21.528455422967568,157.0349585654254,-0.13624407921957693
11,11,0.31005859375,5.0,5.0,23.0,40.0,655.0,645.0,607.3883191813892,243.89719297973903,585.95650562115,400.8434685976453,-21.482927043666905,156.98608885455636,-0.13600129575790207
12,12,0.340087890625,5.0,5.0,23.0,40.0,652.0,645.0,607.3883191813892,243.89719297973903,585.95650562115,400.8434685976453,-21.482927043666905,156.98608885455636,-0.13600129575790207
13,13,0.3599853515625,5.0,5.0,24.0,40.0,652.0,645.0,607.5041517254676,243.7891264992957,585.9268632811741,400.89780652893097,-21.512569383642813,157.04042678584202,-0.13614009939753746
14,14,0.3900146484375,5.0,5.0,23.0,40.0,654.0,644.0,607.4827525648817,243.83613491557347,585.95650562115,400.8434685976453,-21.482927043666905,156.98608885455636,-0.13600129575790207
15,15,0.4200439453125,5.0,5.0,23.0,40.0,655.0,642.0,607.4881735322118,243.8671810431572,586.0001361681581,400.8984139634802,-21.439296496658812,157.04103422039125,-0.13568156062260409
16,16,0.4500732421875,5.0,5.0,23.0,40.0,652.0,641.0,607.4245806020256,243.83332108622704,585.9148688278963,400.9065412884408,-21.524563836920606,157.04916154535184,-0.13620758722324475
17,17,0.47998046875,5.0,5.0,23.0,40.0,651.0,642.0,607.4358101876353,243.90304485935832,586.0184926985041,401.00132908147054,-21.420939966312744,157.1439493383816,-0.1354791062407913
18,18,0.510009765625,5.0,5.0,23.0,40.0,650.0,642.0,607.4358101876353,243.90304485935832,586.0184926985041,401.00132908147054,-21.420939966312744,157.1439493383816,-0.1354791062407913
19,19,0.530029296875,5.0,5.0,23.0,40.0,649.0,642.0,607.4729839305287,243.80884186512608,586.0481563012312,400.8638793098118,-21.39127636358569,157.00649956672285,-0.13541077775704027
20,20,0.56005859375,5.0,5.0,23.0,41.0,650.0,642.0,607.5149036120728,243.88971204038586,586.0421300207857,400.957022410745,-21.39730264403113,157.09964266765607,-0.1353691319040544
21,21,0.590087890625,5.0,5.0,23.0,40.0,653.0,642.0,607.4536879932609,243.8242158466556,586.04854063652,400.8585169794987,-21.39089202829689,157.00113723640973,-0.13541294298060078
22,22,0.6199951171875,5.0,5.0,23.0,40.0,648.0,640.0,607.5149036120728,243.88971204038586,586.0364726215496,400.9056728583033,-21.402960043267285,157.04829311521436,-0.13544822071344328
23,23,0.6500244140625,5.0,5.0,23.0,40.0,650.0,641.0,607.5149036120728,243.88971204038586,586.0335100482953,400.84221320490417,-21.405922616521593,156.9848334618152,-0.13552083404822746
24,24,0.6700439453125,5.0,5.0,23.0,40.0,647.0,645.0,607.5149036120728,243.88971204038586,586.0335100482953,400.84221320490417,-21.405922616521593,156.9848334618152,-0.13552083404822746
25,25,0.7000732421875,5.0,5.0,23.0,40.0,652.0,646.0,607.5149036120728,243.88971204038586,586.0335100482953,400.84221320490417,-21.405922616521593,156.9848334618152,-0.13552083404822746
26,26,0.72998046875,5.0,5.0,23.0,40.0,652.0,644.0,607.4514064509307,243.85559440899425,586.04854063652,400.8585169794987,-21.39089202829689,157.00113723640973,-0.13541294298060078
27,27,0.760009765625,5.0,5.0,23.0,41.0,653.0,644.0,607.4588858065658,243.85500434506775,586.0330676063639,400.89143740654487,-21.406365058452934,157.0340576634559,-0.13548163749730102
28,28,0.7900390625,5.0,5.0,23.0,41.0,653.0,644.0,607.4536879932609,243.8242158466556,585.9739720548052,401.0005408664485,-21.465460610011633,157.14316112335953,-0.13575791119228653
29,29,0.81005859375,5.0,5.0,23.0,41.0,653.0,643.0,607.3900068247964,243.8863872651769,586.0036927597637,400.858318532488,-21.435739905053197,157.00093878939904,-0.13569354888169916
30,30,0.840087890625,5.0,5.0,23.0,40.0,654.0,645.0,607.3900068247964,243.8863872651769,586.0036927597637,400.858318532488,-21.435739905053197,157.00093878939904,-0.13569354888169916
31,31,0.8699951171875,5.0,5.0,23.0,41.0,653.0,644.0,607.4358101876353,243.90304485935832,585.9918816637419,400.9052922240169,-21.447551001075,157.04791248092792,-0.13572728926101196
