,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,23.0,41.0,656.0,641.0,607.6100552058814,243.8396412522826,586.5092324976439,401.4096701620962
1,0.030029296875,0.0,0.0,23.0,40.0,654.0,641.0,607.5406525938748,243.88750125604298,586.4904062394885,401.42326241655377
2,0.0599365234375,0.0,0.0,24.0,40.0,650.0,645.0,607.6153346074195,243.8385717883698,586.4904062394885,401.42326241655377
3,0.0899658203125,0.0,0.0,23.0,40.0,653.0,645.0,607.561734743603,243.840459974856,586.4471255675508,401.42646659817376
4,0.1199951171875,77.0,77.0,23.0,41.0,653.0,644.0,607.6492641682261,243.7754972621567,586.8549551772222,401.57228928913383
5,0.1500244140625,77.0,77.0,23.0,41.0,653.0,644.0,607.6492641682261,243.7754972621567,586.8549551772222,401.57228928913383
6,0.169921875,77.0,77.0,23.0,41.0,651.0,644.0,607.6492641682261,243.7754972621567,586.8549551772222,401.57228928913383
7,0.2099609375,77.0,77.0,23.0,26.0,652.0,642.0,607.5406525938748,243.88750125604298,596.7366352526288,404.9917249985931
8,0.239990234375,77.0,77.0,23.0,35.0,645.0,641.0,607.701244145741,243.85956044743384,607.8665053902531,407.7036283322292
9,0.27001953125,77.0,77.0,23.0,39.0,638.0,636.0,607.701244145741,243.85956044743384,607.8665053902531,407.7036283322292
10,0.2999267578125,77.0,77.0,23.0,28.0,631.0,628.0,607.668148904629,243.8149427436624,608.3332767963916,408.2103550087922
11,0.3299560546875,77.0,77.0,23.0,30.0,622.0,621.0,607.7364173845147,243.89888378355303,609.5313239710285,408.4784244974781
12,0.3599853515625,77.0,77.0,23.0,32.0,622.0,617.0,607.5991732351085,243.86225255632567,613.7036116028208,409.1084065133076
13,0.3900146484375,77.0,77.0,24.0,37.0,613.0,610.0,607.6467096772569,243.87239326753564,617.9476522713973,409.39322917875785
14,0.419921875,77.0,77.0,23.0,39.0,607.0,602.0,607.5991732351085,243.86225255632567,619.0994697291547,409.4317898941874
15,0.449951171875,77.0,77.0,23.0,12.0,601.0,597.0,607.5991732351085,243.86225255632567,619.0994697291547,409.4317898941874
16,0.47998046875,77.0,77.0,23.0,29.0,596.0,592.0,607.617759766635,243.84459546644268,618.1837720131858,409.7570948786442
17,0.510009765625,77.0,77.0,23.0,34.0,598.0,590.0,607.7216963091458,243.8128492714506,618.1837720131858,409.7570948786442
18,0.5399169921875,77.0,77.0,23.0,39.0,594.0,586.0,607.6677168127238,243.90606288316104,620.6264121978498,409.84850527214377
19,0.5699462890625,77.0,77.0,23.0,28.0,593.0,582.0,607.617759766635,243.84459546644268,623.4296814004281,409.821520664929
20,0.5999755859375,77.0,77.0,23.0,35.0,588.0,581.0,607.6799755209811,243.918069188642,623.9427880777513,410.0386194585084
21,0.6300048828125,77.0,77.0,23.0,19.0,585.0,580.0,607.668148904629,243.8149427436624,622.4546381892952,409.9392003613854
22,0.659912109375,77.0,77.0,23.0,29.0,587.0,578.0,607.5987367728736,243.954007935747,622.0282682477164,409.9068144303293
23,0.68994140625,77.0,77.0,23.0,34.0,585.0,576.0,607.7212733995653,243.90440475142904,623.9619731242287,410.0306059897012
24,0.719970703125,77.0,77.0,23.0,30.0,585.0,575.0,607.6475059650128,243.861443106239,626.1886832267734,409.9297115636575
25,0.75,77.0,77.0,23.0,37.0,582.0,575.0,607.701244145741,243.85956044743384,626.2738874097136,410.07597282048977
26,0.780029296875,77.0,77.0,23.0,39.0,584.0,573.0,607.701244145741,243.85956044743384,626.2738874097136,410.07597282048977
27,0.8099365234375,77.0,77.0,22.0,40.0,579.0,572.0,607.5780782449607,243.90929803067758,624.5954140168991,410.0136080341684
28,0.8399658203125,77.0,77.0,23.0,37.0,582.0,572.0,607.5529793954317,243.89137577143765,625.6231061820926,410.0468627671137
29,0.8699951171875,77.0,77.0,23.0,39.0,579.0,570.0,607.5529793954317,243.89137577143765,625.6231061820926,410.0468627671137
30,0.9000244140625,77.0,77.0,23.0,40.0,580.0,569.0,607.4976191227696,243.83066684883175,627.032190432371,410.03022168321854
31,0.929931640625,77.0,77.0,23.0,41.0,575.0,569.0,607.5666871737712,243.8930357324969,626.9911846115716,409.9698969093527
32,0.9599609375,77.0,77.0,23.0,41.0,575.0,568.0,607.5479878734491,243.8010101723759,625.990713172375,410.0877787087086
33,0.989990234375,77.0,77.0,23.0,34.0,577.0,569.0,607.5479878734491,243.8010101723759,625.990713172375,410.0877787087086
34,1.02001953125,77.0,77.0,23.0,37.0,576.0,569.0,607.5116972851209,243.89369526586643,626.4358824525377,410.08054548755246
35,1.0499267578125,77.0,77.0,23.0,31.0,571.0,568.0,607.5116972851209,243.89369526586643,626.4358824525377,410.08054548755246
36,1.0799560546875,77.0,77.0,23.0,26.0,575.0,568.0,607.5116972851209,243.89369526586643,626.4358824525377,410.08054548755246
37,1.1099853515625,77.0,77.0,23.0,36.0,574.0,568.0,607.5116972851209,243.89369526586643,626.4358824525377,410.08054548755246
38,1.1400146484375,77.0,77.0,23.0,15.0,572.0,564.0,607.4790403142102,243.84832502487816,626.5287850151699,410.0947212340054
39,1.169921875,77.0,77.0,23.0,28.0,573.0,564.0,607.6015144988921,243.79891087197996,626.1521524994752,410.09194057244224
40,1.199951171875,77.0,77.0,23.0,34.0,574.0,566.0,607.6698434790592,243.77262846186554,626.7390675984899,410.10010634595665
41,1.22998046875,77.0,77.0,23.0,38.0,572.0,565.0,607.5479878734491,243.8010101723759,628.271527917873,410.04742825694575
